University Admission year,Do you have meritorious scholarship ?,Do you use University transportation?,What is your preferable learning mode?,Do you have personal Computer?,Do you have any health issues?,Are you engaged with any co-curriculum activities?,How many hour do you study daily?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,What is your current CGPA?
2018,1,0,0,1,1,1,3,5,55,0,0,1,2.68,0,75,25000,3.15
2021,1,1,1,1,1,1,3,3,62,1,0,0,2.68,0,36,100000,3.15
2020,0,0,0,1,1,0,3,3,45,0,0,1,2.68,0,50,50000,3.15
2021,1,0,0,1,2,0,1,2,53,0,0,1,2.68,0,36,62488,3.15
2021,1,0,1,1,2,0,3,2,45,0,0,1,2.68,0,36,50000,3.15
2021,1,1,0,1,1,1,2,1,61,0,0,1,2.68,0,36,30000,3.15
2021,1,0,1,1,2,0,2,2,45,0,0,0,2.68,0,36,20000,3.15
2021,1,0,0,1,1,0,2,2,2,1,0,1,3.8,0,35,32500,3.64
2021,1,0,0,1,1,0,3,2,55,0,0,0,2.68,0,36,20000,3.15
2021,1,1,0,1,1,0,5,2,2,0,0,1,2.68,0,36,25000,3.15
2021,1,1,1,1,1,1,3,3,55,0,0,1,2.68,0,36,50000,3.15
2021,0,0,0,1,2,0,3,2,55,0,0,0,3.4,0,35,20000,3.53
2021,0,1,0,1,1,0,1,1,2,0,0,1,2.68,0,36,50000,3.15
2021,1,0,0,1,1,0,3,1,55,0,0,0,2.68,0,36,24000,3.15
2021,0,1,0,1,1,0,2,1,63,0,0,0,2.68,0,36,70000,3.15
2021,1,1,0,1,1,1,2,1,61,0,0,1,3.93,0,35,30000,3.89
2021,1,1,1,1,1,1,5,1,61,0,0,1,2.68,0,36,40000,3.15
2021,1,0,0,1,1,0,5,2,63,0,0,0,2.68,0,36,50000,3.15
2021,1,0,1,1,1,0,1,3,36,0,0,1,3.1,0,35,62488,3.5
2021,0,1,1,1,1,0,3,2,36,1,0,1,2.68,0,36,20000,3.15
2021,1,0,0,1,1,1,3,2,62,0,0,1,3.81,0,34,30000,3.65
2021,1,0,0,1,1,0,3,2,45,1,0,0,2.68,0,36,50000,3.15
2021,1,0,0,1,1,1,2,2,64,0,0,1,2.68,0,36,20000,3.15
2020,0,1,0,1,1,1,6,3,61,0,0,0,2.68,0,36,25000,3.15
2021,1,1,1,1,2,1,1,1,50,0,0,1,3.89,0,35,35000,3.81
2021,0,0,0,1,1,0,3,1,63,0,0,1,3.79,0,39,50000,3.82
2021,0,0,0,0,1,1,4,3,61,0,0,0,2.68,0,36,4000,3.15
2021,1,1,1,1,2,1,2,4,36,1,0,1,3.55,0,35,40000,3.48
2021,1,1,1,1,2,1,2,2,61,0,0,1,3.28,0,36,8000,3.32
2021,1,0,0,1,1,1,3,2,2,0,0,1,2.68,0,36,47972,3.15
2022,1,1,1,1,1,0,3,4,55,0,0,1,2.68,0,11,30000,3.15
2022,1,1,0,1,1,1,4,2,61,0,0,1,2.68,0,11,90000,3.15
2022,0,0,0,1,1,0,5,2,55,0,0,0,2.68,0,11,30000,3.15
2021,1,0,0,1,1,1,8,2,2,0,0,0,2.68,0,36,37000,3.15
2022,1,1,0,1,1,1,1,2,61,0,0,0,2.68,0,11,35000,3.15
2022,1,1,1,0,1,1,3,1,45,0,0,0,2.68,0,11,50000,3.15
2022,1,0,0,1,1,0,2,3,65,0,0,1,2.68,0,11,30000,3.15
2019,0,0,1,1,2,0,2,5,36,1,0,1,2.68,0,126,20000,3.15
2022,1,1,0,1,1,0,4,4,2,0,0,1,2.68,0,11,80000,3.15
2021,1,1,0,1,1,1,5,3,64,0,0,1,2.68,0,11,40000,3.15
2022,1,0,0,1,1,0,5,6,2,0,0,1,2.68,0,11,20000,3.15
2022,0,0,0,1,1,1,3,2,63,0,0,1,2.68,0,11,10000,3.15
2022,1,1,0,1,1,0,3,1,64,0,0,1,2.68,0,11,10000,3.15
